genre,movie title,rating
unknown,unknown,3.4444444444444446
unknown,Good Morning (1971),1.0
Action,Star Wars (1977),4.3584905660377355
Action,"Godfather, The (1972)",4.283292978208232
Action,Raiders of the Lost Ark (1981),4.252380952380952
Adventure,Star Kid (1997),5.0
Adventure,Star Wars (1977),4.3584905660377355
Adventure,Raiders of the Lost Ark (1981),4.252380952380952
Animation,"Close Shave, A (1995)",4.491071428571429
Animation,"Wrong Trousers, The (1993)",4.466101694915254
Animation,Wallace & Gromit: The Best of Aardman Animation (1996),4.447761194029851
Children's,Star Kid (1997),5.0
Children's,"Wizard of Oz, The (1939)",4.0772357723577235
Children's,Babe (1995),3.9954337899543377
Comedy,Santa with Muscles (1996),5.0
Comedy,"Close Shave, A (1995)",4.491071428571429
Comedy,"Wrong Trousers, The (1993)",4.466101694915254
Crime,They Made Me a Criminal (1939),5.0
Crime,"Usual Suspects, The (1995)",4.385767790262173
Crime,"Letter From Death Row, A (1998)",4.333333333333333
Documentary,"Great Day in Harlem, A (1994)",5.0
Documentary,Marlene Dietrich: Shadow and Light (1996) ,5.0
Documentary,Everest (1998),4.5
Drama,Aiqing wansui (1994),5.0
Drama,Entertaining Angels: The Dorothy Day Story (1996),5.0
Drama,Prefontaine (1997),5.0
Fantasy,Star Kid (1997),5.0
Fantasy,E.T. the Extra-Terrestrial (1982),3.8333333333333335
Fantasy,Heavenly Creatures (1994),3.6714285714285713
Film-Noir,"Manchurian Candidate, The (1962)",4.259541984732825
Film-Noir,Crossfire (1947),4.25
Film-Noir,"Maltese Falcon, The (1941)",4.2101449275362315
Horror,Psycho (1960),4.100418410041841
Horror,Alien (1979),4.034364261168385
Horror,Young Frankenstein (1974),3.945
Musical,"Wizard of Oz, The (1939)",4.0772357723577235
Musical,Top Hat (1935),4.0476190476190474
Musical,"Damsel in Distress, A (1937)",4.0
Mystery,Rear Window (1954),4.3875598086124405
Mystery,"Third Man, The (1949)",4.333333333333333
Mystery,Vertigo (1958),4.251396648044692
Romance,Casablanca (1942),4.45679012345679
Romance,Star Wars (1977),4.3584905660377355
Romance,Titanic (1997),4.2457142857142856
Sci-Fi,Star Kid (1997),5.0
Sci-Fi,Star Wars (1977),4.3584905660377355
Sci-Fi,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.252577319587629
Thriller,"Close Shave, A (1995)",4.491071428571429
Thriller,Rear Window (1954),4.3875598086124405
Thriller,"Usual Suspects, The (1995)",4.385767790262173
War,Schindler's List (1993),4.466442953020135
War,Casablanca (1942),4.45679012345679
War,Star Wars (1977),4.3584905660377355
Western,High Noon (1952),4.1022727272727275
Western,"Wild Bunch, The (1969)",4.023255813953488
Western,Butch Cassidy and the Sundance Kid (1969),3.949074074074074
